     x            y
  1102          667
  3916          258
   852         1440
  3304         2615
  3433         1814
   593          295
  3794         2671
  2155          993
   250         2424
  3408         2831
   491         2210
   599         2337
  3916         2157
  4142         1986
  2537          596
  1249          243
  1731         2368
  2581         3220
  2493         3565
  3227         3963
   158         2512
  2884          932
  1235         1198
  2024         2012
  2895         4026
  3303         2739
  1304          898
  1779         3994
  2868         1385
  1063         3046
  1325         1049
  1806          853
   498          562
  2888          326
  1087          838
  3765          194
  2278         1533
   274         4155
  1747         4086
  1687         2370
  2709         3155
  1987         1023
  1557          899
  3056         1451
    23          852
   889         1049
  2654         2816
  2718         1589
  3796         1525
  2611         2290
  1151         1318
  4037         1209
   986          257
  2907           29
   228         1047
  1172         1524
  3448         3778
  3417         1945
   563         3198
  3778         4162
   856         1067
  2512         4023
  2313         3956
  2439          627
  3606         3719
  2351         3414
  2696         2954
  3301         1597
  1861         3056
  1417         3487
  1395         3233
  1070          438
  2205         2358
  1146         2401
  3960          446
  2866         1631
  1295         1262
  1593         1055
  1111         2067
  3010         1592
    31         2208
  1642         3660
  2899          917
  1002         1469
  2917         3155
  2441         3451
  1870         3918
  1306          484
  2892         4133
  2962          295
  3940         2259
  3956         2648
  2837         3475
  1715          320
   484         3462
  3349          608
  2056         2842
    37          727
  2369         2896
   401         2448
  3017         1041
  2269         1221
   421          831
   304         3528
  3992         3380
  2462         3187
  2855           79
  2925          375
  1999         2713
  2596         1390
  1353         2944
  3539         1130
   226         1149
    71          576
  1618         3416
  1087         1001
   809         2425
  1362          485
  1352         2358
  1137          692
  1145          673
  2426          206
  3539          827
  1026         1475
  1342          641
   995         1755
   933         2362
   295         2695
  2781         2802
   461         2704
   401         3983
  1296          302
  3089         2144
  2109           54
  1496         2469
   282         1027
  1507         3845
  1219         1751
  1560         3292
   221         2602
  1120         3889
   131         2103
  2592         1955
   384         2262
  2429         1261
   418           78
  1105         1495
   887          138
  1488         2526
   908         1705
  1046         3469
  2995         2351
  1193         3331
  2197         1497
  3266         2585
  1349         3432
  2931         2573
  1919         2047
  1482         1444
  3503         1413
   968         1746
  1229          781
  2923         2977
   159         2033
  2334         1941
  2496          910
  2896         3385
   158         2024
   232         1319
  3353         2510
  1203         1465
   272         1315
  1391         2463
  2448         1822
  2835         1165
  4098         2319
  1958         4023
   933         3938
  3410          388
  2739         3291
  1090          747
  4131         2514
   850          906
  3369         3146
   706         1509
   135          923
  2047         1407
  1978           17
  3046          154
  3252         1372
  2103          317
  1437         3504
  1838         3516
  3354         2269
  3932         1990
  2690         2166
  1311         3500
  3784          398
  2312          941
  2303         2394
  1831          717
  1034         2039
    97         1013
   270          184
  2394          907
  3490          995
  1519          795
   289         2748
  3203          443
   870         2134
  1890          190
  3470          185
  3607         2881
  1118          273
  3939         1665
   352          924
  2235         4097
  1979         2736
  2767          477
  3235         1617
  1097         3721
  2369          190
   232         1617
  2294         1507
   431          512
  2768         3444
  1118          578
  1297         3226
  4058         4109
  3764          307
  1845           94
  3193         4115
  2839           39
  2941         4003
  2218         3679
  3010         3215
  2067         2965
  2989         1107
  3724          537
  2192         1456
   107          404
  2046         3367
  3574         1791
  2043          853
  3525          620
  2937          943
   627         2712
  1373         3486
  3948         1886
  2315          827
  2132         3626
  3893         3638
  2103         2891
  2513          344
  3096         3052
  1492         3292
  3948         1829
  2401         4003
  3779         1250
  4135         1122
    64          393
  2979          927
   760         2603
  2017          650
  1418         2496
  2395         2076
  3171         2891
    42          171
  4158         1715
   465         1044
  4072         1096
  1677          513
  3252         1186
  2081         3479
  3832          286
  2156         2710
  1542         1164
   217          585
   809         3567
   570         2677
   211         2921
   962         2658
  3202         2708
  2271         2486
   349         2269
   934         1554
  3702           95
  4109          507
  2635         1079
  2809          925
  3861          635
   136         3061
   622         1259
  3222         1879
  1483         1275
  4162         2882
  2250         2112
  1514           79
   933          632
  3156         1480
   694         3983
  3922         1378
  1097         1221
   633         3393
  2509          820
   967         1863
   475         3428
  3440          868
  2921          981
  2942          754
  1965          799
  2849          715
   839         1880
  3679         1756
  2902         2848
  4043         2986
  3599          125
  1902         1918
  3462         2026
   486          146
  2711         1339
  1969         2476
   153         1287
  3479         3235
  1674          147
  1120          315
  1409         3302
  3652          334
  1393         1217
  1112          586
  1314         2421
   614         3049
  2506          494
  1554         1098
  3587         4070
  3298          356
  1412         3917
  1984          893
  1785         3167
    77         4027
   390            3
    34         1466
   497         2381
  3568         3762
  2384         2475
    37         1126
  2887         2491
  1485         4071
  4022         1925
  1224         3352
  1862          858
  1527          598
  2497         2448
    13         3701
  2839         1294
  3728          478
  1341         4159
   853          330
  3057         2341
  3264          872
  3845          567
  1658          631
  1261         2438
  3758         3377
